FREQUENCY,NUMBER,WORDS,CATEGORY
1,1,B (Boron),Lexicon
1,1,Be,Lexicon
1,1,Be (Beryllium),Lexicon
1,1,Bi (Bismuth),Lexicon
1,1,Buy,Lexicon
1,1,O (Oxygen),Lexicon
2,2,Ace,Lexicon
2,2,Babe,Lexicon
2,2,Baby,Lexicon
2,2,C (Carbon),Lexicon
2,2,Ca (Calcium),Lexicon
2,2,Co (Cobalt),Lexicon
2,2,Cu (Copper),Lexicon
2,2,Ice,Lexicon
3,3,Cube,Geometry
3,3,Day,Lexicon
3,3,Duo,Lexicon
3,3,I Do,Lexicon
3,3,Idea,Lexicon
3,3,Yod,Celestial
4,4,Abode,Lexicon
4,4,Body,Lexicon
4,4,Cocoa,Name
4,4,Fae,Mythology
4,4,Fe (Iron),Lexicon
5,5,Ag (Silver),Lexicon
5,5,Age,Lexicon
5,5,Code,Lexicon
5,5,Gaia,Lexicon
5,5,Go,Lexicon
6,6,3D,Lexicon
6,6,Add,Lexicon
6,6,Big,Lexicon
6,6,Dad,Lexicon
6,6,Face,Lexicon
6,6,H (Hydrogen),Lexicon
7,7,4D,Lexicon
7,7,Au (Gold),Lexicon
7,7,Day by Day,Lexicon
7,7,Deify,Lexicon
7,7,Food,Lexicon
7,7,Foodie,Lexicon
7,7,Joy,Lexicon
8,8,5D,Lexicon
8,8,Decade,Lexicon
8,8,Decide,Lexicon
8,8,Echo,Lexicon
8,8,God,Lexicon
8,8,Good,Lexicon
8,8,Guide,Lexicon
8,8,K (Potassium),Lexicon
8,8,Ka,Lexicon
8,8,Kauai,Place
8,8,Key,Lexicon
8,8,Ki,Lexicon
8,8,Ok,Lexicon
9,9,6D,Lexicon
9,9,Added,Lexicon
9,9,Al (Aluminum),Lexicon
9,9,Be Good,Lexicon
9,9,Book,Lexicon
9,9,Goof,Lexicon
9,9,Goofy,Lexicon
9,9,Head,Lexicon
9,9,Heed,Lexicon
9,9,Juice,Lexicon
9,9,Juicy,Lexicon
9,9,Leo,Celestial
9,9,Li (Lithium),Lexicon
10,10,Aim,Lexicon
10,10,Blue,Color
10,10,Choice,Lexicon
10,10,Cook,Lexicon
10,10,Deified,Lexicon
10,10,Egg,Lexicon
10,10,I Am,Lexicon
10,10,I Am You,Lexicon
10,10,Jedi,Lexicon
10,10,May,Calendar
10,10,You + Me,Lexicon
10,10,Yum,Lexicon
11,11,Aeon,Lexicon
11,11,Back,Lexicon
11,11,By Choice,Lexicon
11,11,Clue,Lexicon
11,11,Cool,Lexicon
11,11,Each Day,Lexicon
11,11,Eon,Lexicon
11,11,Good Idea,Lexicon
11,11,Guided,Lexicon
11,11,Hg (Mercury),Lexicon
11,11,Hug,Lexicon
11,11,In,Lexicon
11,11,N (Nitrogen),Lexicon
11,11,Na (Sodium),Lexicon
11,11,Ni (Nickel),Lexicon
11,11,One,Lexicon
12,12,Aloud,Lexicon
12,12,Bean,Name
12,12,Booked,Lexicon
12,12,Bubble,Lexicon
12,12,Chief,Lexicon
12,12,Come,Lexicon
12,12,Daily,Lexicon
12,12,Dual,Lexicon
12,12,God Body,Lexicon
12,12,Ice Blue,Color
12,12,Ideal,Lexicon
12,12,Lady,Lexicon
12,12,Lead,Lexicon
12,12,Led,Lexicon
12,12,M101 (Pinwheel Galaxy),Celestial
12,12,P (Phosphorus),Lexicon
13,13,A Cone,Lexicon
13,13,Aimed,Lexicon
13,13,Become,Lexicon
13,13,Bold,Lexicon
13,13,Buddha,Lexicon
13,13,Build,Lexicon
13,13,Cycle,Lexicon
13,13,Deck,Lexicon
13,13,Double,Lexicon
13,13,Elf,Lexicon
13,13,Feel,Lexicon
13,13,Fly,Lexicon
13,13,I Can,Lexicon
13,13,Icon,Lexicon
13,13,Life,Oracle
13,13,My Day,Lexicon
13,13,Ocean,Lexicon
13,13,Pb (Lead),Lexicon
14,14,Adonai,Name
14,14,Agile,Lexicon
14,14,Air,Lexicon
14,14,Beacon,Lexicon
14,14,Belief,Lexicon
14,14,Blue Body,Lexicon
14,14,DNA,Lexicon
14,14,Eden,Lexicon
14,14,Embody,Lexicon
